session_id,user_id,event_timestamp,channel,campaign,device,page_visited,session_duration_seconds
411cc3cd-058e-4d,a1135da0-32c,2024-02-05 23:06:00,organic_search,seo_blog_push,mobile,/signup,573
1ffa6047-bb68-43,a1135da0-32c,2024-02-06 13:02:00,paid_search,retargeting_jan,mobile,/home,110
0b3e3f64-dd7c-4b,a1135da0-32c,2024-02-07 16:38:00,organic_search,seo_blog_push,mobile,/home,589
f14d39f6-cab2-45,a1135da0-32c,2024-02-08 20:44:00,organic_search,,mobile,/blog,444
2b297e21-3826-40,a1135da0-32c,2024-02-09 18:17:00,organic_search,content_hub_v2,mobile,/checkout,21
d9375c27-75aa-47,a1135da0-32c,2024-02-10 22:27:00,paid_social,meta_lookalike,mobile,/pricing,299
b0b6205f-e78c-4a,19c67511-c9b,2024-02-18 19:16:00,email,abandoned_cart,mobile,/checkout,59
20f19708-3a5c-4a,19c67511-c9b,2024-02-19 17:07:00,referral,affiliate_v2,mobile,/about,95
0347d02e-3bf2-4b,19c67511-c9b,2024-02-20 20:39:00,direct,,mobile,/checkout,385
8faaefa3-6387-4e,398c0586-51b,2024-03-25 02:54:00,paid_social,linkedin_b2b,mobile,/products,118
b0976985-c79a-49,398c0586-51b,2024-03-26 14:40:00,social_media,tiktok_awareness,mobile,/checkout,388
0b8ec0e0-0579-45,398c0586-51b,2024-03-27 11:13:00,organic_search,content_hub_v2,mobile,/signup,288
83bcb885-2404-41,398c0586-51b,2024-03-28 20:04:00,referral,,mobile,/blog,190
4770924a-1ea9-41,398c0586-51b,2024-03-29 05:29:00,direct,,mobile,/about,291
22bc842f-f88a-4c,398c0586-51b,2024-03-30 17:14:00,referral,,mobile,/signup,347
9304b946-1183-4e,920c3ebc-2ac,2024-01-05 02:13:00,social_media,tiktok_awareness,desktop,/blog,337
07e84d03-34e6-42,f619e0d4-cd3,2024-02-20 08:08:00,social_media,instagram_launch,tablet,/products,589
bfadce3e-ae44-4e,f619e0d4-cd3,2024-02-21 23:37:00,direct,,tablet,/about,423
b99599da-d62d-4f,7f73ad27-303,2024-01-18 01:55:00,social_media,instagram_launch,tablet,/home,171
d7a14f15-19dd-4b,7f73ad27-303,2024-01-19 21:27:00,referral,partner_promo_jan,tablet,/blog,80
4aeea8af-b4e6-46,7f73ad27-303,2024-01-20 19:29:00,social_media,tiktok_awareness,tablet,/blog,272
0586d3f1-d1c7-4f,0bf33b6f-888,2024-01-02 21:56:00,referral,partner_promo_jan,tablet,/blog,288
acdd5b58-795e-40,0bf33b6f-888,2024-01-03 10:07:00,paid_social,youtube_retarget,tablet,/pricing,460
4c730985-add2-4b,0bf33b6f-888,2024-01-04 00:46:00,organic_search,content_hub_v2,tablet,/signup,284
22410b0a-947e-42,0bf33b6f-888,2024-01-05 16:58:00,direct,,tablet,/home,320
194e0f7a-2cff-43,0bf33b6f-888,2024-01-06 16:38:00,paid_social,youtube_retarget,tablet,/products,171
ae59fcaa-4fa4-45,310473ea-2d4,2024-03-10 10:31:00,paid_search,retargeting_jan,tablet,/home,129
7c7c6449-79f2-43,310473ea-2d4,2024-03-11 07:03:00,email,abandoned_cart,tablet,/products,595
72c4ccc1-e00a-4f,310473ea-2d4,2024-03-12 23:31:00,paid_search,spring_sale_2024,tablet,/checkout,85
aed6ca77-b272-48,28e55667-642,2024-01-17 05:16:00,social_media,fb_engagement,tablet,/blog,448
64847705-7f74-47,28e55667-642,2024-01-18 23:44:00,organic_search,,tablet,/products,334
a1c39131-490f-41,28e55667-642,2024-01-19 20:23:00,social_media,fb_engagement,tablet,/about,544
8f72b261-3d3b-41,28e55667-642,2024-01-20 07:14:00,social_media,instagram_launch,tablet,/home,361
4e4224ca-c5a9-4b,28e55667-642,2024-01-21 17:14:00,paid_search,retargeting_jan,tablet,/blog,240
1022bf87-7b66-4c,cb6779bc-289,2024-03-21 01:55:00,organic_search,seo_blog_push,mobile,/pricing,87
2cb6b00f-f47a-40,373c40b0-9f4,2024-01-28 18:36:00,organic_search,,tablet,/about,263
2094bf0a-c58d-45,373c40b0-9f4,2024-01-29 13:12:00,paid_social,linkedin_b2b,tablet,/home,114
0be2d8c8-160c-43,373c40b0-9f4,2024-01-30 11:27:00,referral,affiliate_v2,tablet,/about,493
7d6809eb-c854-42,164f6bfa-2a7,2024-03-24 12:46:00,paid_search,spring_sale_2024,tablet,/pricing,126
df8e9643-2812-40,164f6bfa-2a7,2024-03-25 06:34:00,organic_search,seo_blog_push,tablet,/about,158
a88356d7-c4a8-42,164f6bfa-2a7,2024-03-26 08:29:00,social_media,instagram_launch,tablet,/products,92
7e2a3aa8-a8b7-4e,164f6bfa-2a7,2024-03-27 03:03:00,social_media,fb_engagement,tablet,/signup,568
f972ceaa-b304-48,164f6bfa-2a7,2024-03-28 02:59:00,paid_social,meta_lookalike,tablet,/checkout,257
